Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,81.163000,81.163000,75.942000,79.950000,79.950000,36358000
2000-01-04,77.630000,78.895000,74.202000,74.261000,74.261000,33782800
2000-01-05,73.833000,75.968000,71.090000,72.725000,72.725000,42498400
2000-01-06,73.305000,74.254000,67.504000,68.137000,68.137000,37009400
2000-01-07,69.983000,74.676000,69.614000,74.676000,74.676000,28129400
2000-01-10,76.786000,79.264000,75.889000,77.841000,77.841000,29672200
2000-01-11,77.419000,78.368000,73.411000,74.465000,74.465000,32512600
2000-01-12,75.098000,75.303000,72.567000,73.041000,73.041000,29047200
2000-01-13,74.676000,77.208000,73.477000,76.997000,76.997000,25163200
2000-01-14,78.473000,79.001000,77.630000,78.210000,78.210000,21898000
2000-01-18,77.682000,79.686000,77.155000,79.317000,79.317000,16749000
2000-01-19,78.889000,81.005000,77.992000,80.398000,80.398000,18995600
2000-01-20,80.583000,81.743000,79.324000,80.583000,80.583000,25955600
2000-01-21,81.427000,81.479000,80.214000,81.216000,81.216000,18696200
2000-01-24,82.218000,82.376000,76.759000,76.997000,76.997000,28337200
2000-01-25,77.524000,79.416000,75.441000,78.605000,78.605000,33273400
2000-01-26,78.684000,78.737000,75.098000,75.520000,75.520000,23090000
2000-01-27,77.419000,78.052000,73.938000,76.364000,76.364000,30730200
2000-01-28,75.942000,76.338000,71.512000,72.356000,72.356000,35313600
2000-01-31,72.461000,75.942000,70.457000,75.942000,75.942000,36012200
2000-02-01,75.546000,78.052000,74.624000,78.052000,78.052000,26416600
2000-02-02,77.841000,79.924000,77.709000,78.368000,78.368000,26169200
2000-02-03,79.581000,81.532000,77.867000,81.110000,81.110000,30578600
2000-02-04,81.849000,82.897000,81.189000,81.769000,81.769000,26636200
2000-02-07,82.060000,83.114000,81.216000,83.035000,83.035000,17760000
2000-02-08,83.853000,86.279000,83.853000,86.279000,86.279000,21984800
2000-02-09,86.120000,86.232000,83.325000,83.536000,83.536000,27294200
2000-02-10,84.222000,86.279000,83.160000,86.226000,86.226000,26340200
2000-02-11,86.120000,86.120000,82.692000,83.536000,83.536000,24875000
2000-02-14,84.373000,84.380000,82.481000,83.839000,83.839000,22813800
2000-02-15,83.483000,84.907000,80.899000,84.591000,84.591000,30571800
2000-02-16,84.301000,85.804000,83.800000,84.380000,84.380000,25309400
2000-02-17,85.382000,87.122000,84.064000,85.962000,85.962000,30076600
2000-02-18,86.595000,86.911000,83.062000,83.378000,83.378000,25269000
2000-02-22,83.536000,84.327000,81.216000,83.246000,83.246000,37227000
2000-02-23,84.110000,88.599000,83.668000,87.861000,87.861000,32167600
2000-02-24,88.494000,90.122000,86.068000,89.865000,89.865000,48862400
2000-02-25,89.601000,90.709000,87.650000,87.913000,87.913000,32615800
2000-02-28,87.122000,89.179000,84.802000,87.544000,87.544000,38215800
2000-02-29,89.232000,90.366000,88.546000,90.287000,90.287000,23975000
2000-03-01,90.498000,91.605000,89.865000,90.814000,90.814000,24466400
2000-03-02,91.183000,91.289000,88.388000,88.711000,88.711000,32739200
2000-03-03,91.130000,93.767000,90.287000,92.416000,92.416000,32014800
2000-03-06,94.295000,95.534000,93.029000,94.084000,94.084000,23269000
2000-03-07,96.035000,96.088000,91.763000,92.607000,92.607000,39467400
2000-03-08,93.662000,94.506000,89.680000,94.136000,94.136000,43508400
2000-03-09,93.846000,97.037000,92.053000,97.037000,97.037000,30096800
2000-03-10,96.932000,98.250000,95.778000,96.773000,96.773000,29668400
2000-03-13,92.818000,96.299000,92.422000,93.820000,93.820000,37543800
2000-03-14,95.138000,95.666000,88.599000,90.287000,90.287000,39103800
2000-03-15,89.865000,90.287000,85.962000,86.885000,86.885000,51199600
2000-03-16,88.915000,92.185000,85.224000,91.552000,91.552000,55280400
2000-03-17,91.130000,93.715000,91.078000,93.504000,93.504000,31422200
2000-03-20,93.651000,94.073000,89.643000,90.487000,90.487000,21164400
2000-03-21,89.538000,94.389000,87.376000,94.073000,94.073000,33431300
2000-03-22,95.760000,97.843000,93.756000,96.182000,96.182000,24334200
2000-03-23,96.590000,99.346000,95.813000,98.186000,98.186000,19226900
